---- 10/06/11 14:24:59 ------- 001 -----
1221 10/06/11 14:22:56 000 000 001 14359
---- 10/06/11 17:09:31 ------- 001 -----
1221 10/06/11 15:27:28 000 000 001 15049
1221 10/06/11 17:08:12 000 000 001 49719
---- 13/06/11 11:34:07 ------- 001 -----
1221 13/06/11 11:32:50 000 000 001 23586
1221 13/06/11 11:32:58 000 000 001 22392
---- 13/06/11 11:37:02 ------- 001 -----
1221 13/06/11 11:34:50 000 000 001 40089
1221 13/06/11 11:35:04 000 000 001 47060
1221 13/06/11 11:35:52 000 000 001 48763
---- 13/06/11 12:13:09 ------- 001 -----
1221 13/06/11 11:47:48 000 000 001 30273
1221 13/06/11 11:59:46 000 000 001 13228
1221 13/06/11 12:12:10 000 000 001 62019
